source_company,destination_company,relationship_type,route_mode,transit_days_min,transit_days_max,commodity,risk_level,publicly_known
ASML Holding,Taiwan Semiconductor,tier1_supplier,sea,25,40,EUV lithography machines,critical,yes
ASML Holding,Samsung Electronics,tier1_supplier,sea,20,35,EUV lithography machines,critical,yes
ASML Holding,Intel Corporation,tier1_supplier,sea,20,30,DUV EUV machines,critical,yes
ASML Holding,SMIC,tier1_supplier,sea,22,35,DUV machines,high,yes
Applied Materials,Taiwan Semiconductor,tier1_supplier,sea,20,30,CVD PVD deposition tools,high,yes
Applied Materials,Samsung Electronics,tier1_supplier,sea,18,28,Etch deposition tools,high,yes
Applied Materials,Intel Corporation,tier1_supplier,road,5,10,Semiconductor equipment,high,yes
Lam Research,Taiwan Semiconductor,tier1_supplier,sea,20,30,Etch equipment,high,yes
Lam Research,Samsung Electronics,tier1_supplier,sea,18,28,Etch equipment,high,yes
KLA Corporation,Taiwan Semiconductor,tier1_supplier,sea,20,30,Inspection metrology tools,high,yes
KLA Corporation,Samsung Electronics,tier1_supplier,sea,18,28,Inspection tools,high,yes
Taiwan Semiconductor,Apple Inc,tier1_supplier,air,2,5,A-series M-series chips,critical,yes
Taiwan Semiconductor,NVIDIA Corporation,tier1_supplier,sea,18,25,GPU chips H100,critical,yes
Taiwan Semiconductor,Qualcomm Inc,tier1_supplier,sea,18,25,Snapdragon SoCs,critical,yes
Taiwan Semiconductor,AMD,tier1_supplier,sea,18,25,CPU GPU chips,critical,yes
Taiwan Semiconductor,Broadcom Inc,tier1_supplier,sea,18,25,Networking ASICs,high,yes
Taiwan Semiconductor,MediaTek Inc,tier1_supplier,road,1,3,Dimensity SoCs,high,yes
Taiwan Semiconductor,Marvell Technology,tier1_supplier,sea,18,25,Data centre chips,high,yes
Samsung Electronics,Apple Inc,tier1_supplier,sea,12,18,OLED displays NAND,high,yes
Samsung Electronics,Qualcomm Inc,tier1_supplier,sea,12,18,DRAM,medium,yes
SK Hynix,Apple Inc,tier1_supplier,sea,12,18,DRAM NAND,high,yes
SK Hynix,NVIDIA Corporation,tier1_supplier,sea,12,18,HBM3 memory,critical,yes
SK Hynix,Amazon.com Inc,tier1_supplier,sea,12,18,Data centre DRAM,high,yes
Micron Technology,Apple Inc,tier1_supplier,road,2,5,NAND flash DRAM,high,yes
Micron Technology,NVIDIA Corporation,tier1_supplier,road,2,5,HBM memory,critical,yes
Micron Technology,Amazon.com Inc,tier1_supplier,road,3,7,Server DRAM,high,yes
Intel Corporation,Amazon.com Inc,tier1_supplier,road,2,5,Xeon server CPUs,high,yes
Intel Corporation,Microsoft Corporation,tier1_supplier,road,2,5,Server CPUs,high,yes
Qualcomm Inc,Apple Inc,tier1_supplier,road,1,3,5G modems,high,yes
Qualcomm Inc,Samsung Electronics,tier1_supplier,sea,5,10,Snapdragon for Galaxy,high,yes
Qualcomm Inc,Xiaomi Corporation,tier1_supplier,sea,8,15,Snapdragon SoCs,high,yes
Broadcom Inc,Apple Inc,tier1_supplier,road,1,5,WiFi Bluetooth ASIC,high,yes
MediaTek Inc,Xiaomi Corporation,tier1_supplier,sea,5,10,Dimensity chips,high,yes
MediaTek Inc,Samsung Electronics,tier1_supplier,sea,5,10,Mid-range SoCs,high,yes
Renesas Electronics,Toyota Motor Corporation,tier1_supplier,road,1,2,Automotive MCUs,critical,yes
Renesas Electronics,Hyundai Motor,tier1_supplier,sea,5,10,Automotive MCUs,high,yes
Renesas Electronics,Volkswagen AG,tier1_supplier,sea,15,22,Automotive MCUs,high,yes
Infineon Technologies,Volkswagen AG,tier1_supplier,road,2,5,Power semiconductors,high,yes
Infineon Technologies,BMW Group,tier1_supplier,road,2,5,Power semiconductors,high,yes
Infineon Technologies,Tesla Inc,tier1_supplier,sea,18,25,SiC power modules,critical,yes
STMicroelectronics,Tesla Inc,tier1_supplier,sea,18,25,SiC chips,high,yes
STMicroelectronics,Apple Inc,tier1_supplier,sea,15,22,Motion sensors,medium,yes
Texas Instruments,Ford Motor Company,tier1_supplier,road,2,5,Automotive chips,high,yes
Texas Instruments,General Motors,tier1_supplier,road,2,5,Automotive chips,high,yes
ASE Technology,Qualcomm Inc,tier1_supplier,road,1,3,Chip packaging testing,high,yes
ASE Technology,Broadcom Inc,tier1_supplier,road,1,3,Advanced packaging,high,yes
BOE Technology,Apple Inc,tier2_supplier,sea,8,15,OLED panels,medium,yes
BOE Technology,Lenovo Group,tier1_supplier,road,1,3,LCD panels,high,yes
Largan Precision,Apple Inc,tier1_supplier,sea,5,10,Camera lenses,high,yes
Murata Manufacturing,Apple Inc,tier1_supplier,sea,8,12,MLCC capacitors RF,high,yes
TDK Corporation,Apple Inc,tier1_supplier,sea,8,12,Passive components,medium,yes
Murata Manufacturing,Samsung Electronics,tier1_supplier,sea,5,10,MLCC capacitors,high,yes
Foxconn Technology,Apple Inc,tier1_supplier,air,2,5,Assembled iPhones MacBooks,critical,yes
Foxconn Technology,Amazon.com Inc,tier1_supplier,sea,18,25,Alexa Fire devices,medium,yes
Foxconn Technology,Sony Group Corporation,tier2_supplier,sea,5,10,PlayStation assembly,medium,yes
Pegatron Corporation,Apple Inc,tier1_supplier,air,2,5,iPhone assembly,critical,yes
Wistron Corporation,Apple Inc,tier2_supplier,air,2,5,Older iPhone assembly,medium,yes
Flex Ltd,Microsoft Corporation,tier1_supplier,sea,15,25,Xbox assembly,high,yes
Flex Ltd,Amazon.com Inc,tier1_supplier,sea,18,25,Kindle Echo assembly,medium,yes
Jabil Inc,Apple Inc,tier2_supplier,sea,18,25,iPhone enclosures,medium,yes
Jabil Inc,Johnson & Johnson,tier1_supplier,road,3,7,Medical device assembly,medium,yes
Celestica Inc,Cisco Systems,tier1_supplier,sea,15,20,Network hardware,medium,yes
CATL,Tesla Inc,tier1_supplier,sea,28,40,LFP battery packs,critical,yes
CATL,Volkswagen AG,tier1_supplier,sea,22,35,EV battery packs,critical,yes
CATL,BMW Group,tier1_supplier,sea,22,35,EV battery cells,high,yes
CATL,Hyundai Motor,tier1_supplier,sea,12,18,EV batteries,high,yes
CATL,Ford Motor Company,tier1_supplier,sea,28,40,BlueOval battery cells,high,yes
CATL Europe,Volkswagen AG,tier1_supplier,road,2,5,EV batteries Germany plant,critical,yes
Panasonic Holdings,Tesla Inc,tier1_supplier,road,1,2,2170 cylindrical cells,critical,yes
LG Energy Solution,Tesla Inc,tier1_supplier,sea,12,18,Pouch cells Model S,high,yes
LG Energy Solution,General Motors,tier1_supplier,road,2,5,Ultium cells,critical,yes
LG Energy Solution,Hyundai Motor,tier1_supplier,road,1,3,Battery packs,high,yes
Samsung SDI,BMW Group,tier1_supplier,sea,12,18,Prismatic cells,high,yes
Samsung SDI,Stellantis NV,tier1_supplier,sea,15,22,Battery modules,high,yes
SK Innovation,Ford Motor Company,tier1_supplier,road,3,7,Battery cells,high,yes
SK Innovation,Volkswagen AG,tier1_supplier,sea,12,18,Battery cells,high,yes
BYD Company,Toyota Motor Corporation,tier1_supplier,sea,5,10,Blade battery cells,medium,yes
Indonesia Nickel Corp,CATL,raw_material,sea,12,18,Nickel for battery cathode,critical,yes
Indonesia Nickel Corp,LG Energy Solution,raw_material,sea,12,18,Nickel,high,yes
Freeport Indonesia,CATL,raw_material,sea,10,15,Copper for battery,high,yes
Glencore PLC,CATL,raw_material,sea,25,35,Cobalt lithium,high,yes
Glencore PLC,Samsung SDI,raw_material,sea,20,30,Cobalt,high,yes
Glencore PLC,LG Energy Solution,raw_material,sea,20,30,Cobalt,high,yes
Robert Bosch GmbH,Volkswagen AG,tier1_supplier,road,1,3,ECUs fuel injection ADAS,critical,yes
Robert Bosch GmbH,Toyota Motor Corporation,tier1_supplier,sea,12,18,Chassis brakes,high,yes
Robert Bosch GmbH,Ford Motor Company,tier1_supplier,road,2,5,Powertrain electronics,high,yes
Robert Bosch GmbH,BMW Group,tier1_supplier,road,1,3,Electronics systems,high,yes
Robert Bosch GmbH,General Motors,tier1_supplier,road,3,7,Automotive electronics,high,yes
Denso Corporation,Toyota Motor Corporation,tier1_supplier,road,1,2,Thermal HVAC electronics,critical,yes
Denso Corporation,Honda Motor Co,tier1_supplier,road,1,2,Auto components,high,yes
Aisin Corporation,Toyota Motor Corporation,tier1_supplier,road,1,2,Drivetrain components,critical,yes
Hyundai Mobis,Hyundai Motor,tier1_supplier,road,1,2,Modules electronics,critical,yes
Hyundai Mobis,Kia Corporation,tier1_supplier,road,1,2,Auto modules,critical,yes
Continental AG,Volkswagen AG,tier1_supplier,road,1,3,Tires sensors ADAS,high,yes
Continental AG,BMW Group,tier1_supplier,road,1,3,ADAS chassis systems,high,yes
Continental AG,Ford Motor Company,tier1_supplier,road,2,5,Tyres electronics,high,yes
Valeo SA,Stellantis NV,tier1_supplier,road,2,5,ADAS lighting,high,yes
Valeo SA,Renault-Nissan,tier1_supplier,road,2,5,Driver assistance,high,yes
Magna International,General Motors,tier1_supplier,road,2,5,Body stampings seating,high,yes
Magna International,BMW Group,tier1_supplier,sea,12,18,Exterior modules,high,yes
Aptiv PLC,General Motors,tier1_supplier,road,2,5,Wiring harness electrical,critical,yes
