hospital_id,hospital_name,district,latitude,longitude,capacity,available_beds,trauma_level,oxygen_available,emergency_contact
HOSP_001,"Private Hospital City Hospital, Ramanagara",Bengaluru Urban,13.095642,77.781789,283,117,Level 1,Yes,+91 919 788 2863
HOSP_002,"Government, Bangalore North",Bengaluru Urban,12.751105,77.608154,225,144,Level 1,Yes,+91 801 660 7085
HOSP_003,"Primary Health Center, Anekal",Bengaluru Urban,13.162556,77.511978,477,244,Level 1,Yes,+91 924 658 1250
HOSP_004,"District, Anekal",Bengaluru Urban,13.104089,77.703916,260,85,Level 1,No,+91 843 898 6343
HOSP_005,"District, Bangalore South",Bengaluru Urban,12.844963,77.647644,74,41,Level 1,Yes,+91 832 459 2552
HOSP_006,"Medical College Neurology Institute, Bengaluru",Bengaluru Urban,12.90143,77.493142,434,366,Level 3,Yes,+91 895 759 5888
HOSP_007,"Medical College Rehabilitation Center, Bangalore South",Bengaluru Urban,13.112686,77.488146,289,149,Level 1,Yes,+91 804 699 1546
HOSP_008,"District, Yelahanka",Bengaluru Urban,13.110873,77.800447,343,242,Level 1,Yes,+91 954 650 4626
HOSP_009,"Mission Hospital Nephrology Center, Bangalore North",Bengaluru Urban,13.183071,77.7031,165,108,Level 2,No,+91 831 251 7569
HOSP_010,"General Hospital Infectious Disease Hospital, Anekal",Bengaluru Urban,12.95424,77.709682,417,233,Level 2,Yes,+91 855 902 3885
HOSP_011,"Medical College Blood Bank Center, Bengaluru",Bengaluru Urban,12.921727,77.491533,167,76,Level 1,Yes,+91 810 470 2417
HOSP_012,"District, Bangalore North",Bengaluru Urban,13.142657,77.825417,491,361,Level 2,Yes,+91 964 248 1833
HOSP_013,"Community Health Center, Bangalore South",Bengaluru Urban,12.741772,77.543732,150,48,Level 2,No,+91 995 412 6358
HOSP_014,"Charitable Hospital City Hospital, Ramanagara",Bengaluru Urban,13.066696,77.433504,477,413,Level 1,No,+91 986 894 7546
HOSP_015,"Primary Health Center, Bengaluru",Bengaluru Urban,13.083079,77.543423,106,58,Level 1,Yes,+91 865 961 4303
HOSP_016,"Charitable Hospital Regional Hospital, Mysuru",Mysuru,12.415089,76.601077,315,165,Level 1,Yes,+91 904 243 8480
HOSP_017,"Medical College Memorial Hospital, Nanjangud",Mysuru,12.206667,76.393476,398,153,Level 3,No,+91 943 141 8090
HOSP_018,"Government, Tirumakudal",Mysuru,12.085645,76.807841,369,246,Level 3,No,+91 892 496 7378
HOSP_019,"General Hospital Dialysis Center, Hunsur",Mysuru,12.152112,76.511684,200,148,Level 2,No,+91 868 865 8771
HOSP_020,"Private Hospital Multi-Specialty Hospital, Hunsur",Mysuru,12.299108,76.559825,499,378,Level 3,Yes,+91 955 758 4864
HOSP_021,"District, Narasanagara",Mysuru,12.395786,76.798039,205,76,Level 2,Yes,+91 830 214 6596
