source_company,target_company,relationship_type,material,origin,origin_lat,origin_lon,destination,destination_lat,destination_lon,transport_mode,criticality,route_name
TSMC,Foxconn,supplies,Semiconductors,Taichung,24.1477,120.6736,Shenzhen,22.5431,114.0579,sea,high,TW-CN Chip Route
Foxconn,Apple,supplies,Consumer Electronics,Shenzhen,22.5431,114.0579,Los Angeles,34.0522,-118.2437,sea,high,Trans-Pacific Electronics
Samsung,Tesla,supplies,EV Batteries,Shanghai,31.2304,121.4737,Long Beach,33.7701,-118.1937,sea,high,CN-US Battery Route
ASML,TSMC,supplies,Lithography Equipment,Rotterdam,51.9244,4.4777,Taichung,24.1477,120.6736,sea,high,EU-TW Tech Route
BASF,Foxconn,supplies,Industrial Chemicals,Hamburg,53.5511,9.9937,Shenzhen,22.5431,114.0579,sea,medium,EU-CN Chemicals
Tata Steel,Tata Motors,supplies,Automotive Steel,Mumbai,19.0760,72.8777,Chennai,13.0827,80.2707,rail,medium,India Domestic Steel
Nvidia,Foxconn,supplies,GPUs,Taichung,24.1477,120.6736,Shenzhen,22.5431,114.0579,air,high,TW-CN GPU Express
Intel,Dell,supplies,Microprocessors,Penang,5.4141,100.3288,Los Angeles,34.0522,-118.2437,air,high,MY-US CPU Freight
LG Chem,General Motors,supplies,Battery Cells,Seoul,37.5665,126.9780,Detroit,42.3314,-83.0458,sea,high,KR-US Auto Supply
Sony,Apple,supplies,Camera Sensors,Tokyo,35.6895,139.6917,Shenzhen,22.5431,114.0579,air,high,JP-CN Sensor Route
Panasonic,Tesla,supplies,EV Batteries,Osaka,34.6937,135.5023,San Francisco,37.7749,-122.4194,sea,high,JP-US EV Battery
Qualcomm,Samsung,supplies,Mobile Processors,San Diego,32.7157,-117.1611,Seoul,37.5665,126.9780,air,high,US-KR Chip Freight
